"ID" "Midterm1" "Midterm2" "Final" "Sex" "new_Final"
1 24 76 52 "female" 72.1110255092798
2 33 73 83 "female" 91.104335791443
3 69 41 64 "male" 80
4 79 55 80 "male" 89.4427190999916
5 77 6 56 "male" 74.8331477354788
6 97 75 85 "female" 92.1954445729289
7 70 11 97 "male" 98.488578017961
8 74 26 99 "male" 99.498743710662
9 73 88 93 "male" 96.4365076099295
10 35 74 95 "female" 97.4679434480896
11 70 75 64 "female" 80
12 36 19 71 "female" 84.2614977317636
13 36 18 39 "male" 62.449979983984
14 94 67 38 "female" 61.6441400296898
15 34 97 60 "female" 77.4596669241483
16 90 49 76 "female" 87.1779788708135
17 71 9 71 "male" 84.2614977317636
18 79 16 53 "female" 72.8010988928052
19 50 62 81 "male" 90
20 64 94 92 "male" 95.9166304662544
21 62 26 77 "male" 87.7496438739212
22 98 56 36 "female" 60
23 81 27 58 "male" 76.1577310586391
24 56 57 57 "female" 75.4983443527075
25 70 21 68 "male" 82.4621125123532
26 41 92 34 "female" 58.309518948453
27 95 53 87 "female" 93.2737905308882
28 29 61 73 "male" 85.4400374531753
29 26 67 70 "male" 83.6660026534076
30 41 74 71 "male" 84.2614977317636
31 41 21 44 "female" 66.332495807108
32 60 97 95 "female" 97.4679434480896
33 26 91 66 "male" 81.2403840463596
34 94 19 48 "female" 69.2820323027551
35 79 54 83 "male" 91.104335791443
36 96 70 85 "male" 92.1954445729289
37 63 89 49 "male" 70
38 85 75 72 "male" 84.8528137423857
39 63 84 95 "female" 97.4679434480896
40 31 80 53 "male" 72.8010988928052
41 65 30 40 "female" 63.2455532033676
42 58 87 91 "female" 95.3939201416946
43 54 98 88 "female" 93.8083151964686
44 64 45 84 "female" 91.6515138991168
45 50 85 57 "male" 75.4983443527075
46 28 90 71 "male" 84.2614977317636
47 37 71 73 "female" 85.4400374531753
48 19 20 60 "female" 77.4596669241483
49 80 34 59 "female" 76.8114574786861
50 93 94 79 "female" 88.8819441731559
